timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714559039450,667,https://www.rae.es/,200,OK,Test Case Basico 2 2-1,text,true,,14785,684,1,4,https://www.rae.es/,667,0,74
1714559040123,47,https://www.rae.es/sites/default/files/css/css_WSt8iH52cnt2qIw8_5DZJB7HRsExK9FogVlIs0zJ5Ac.css,200,OK,Test Case Basico 2 2-1,text,true,,3629,752,1,4,https://www.rae.es/sites/default/files/css/css_WSt8iH52cnt2qIw8_5DZJB7HRsExK9FogVlIs0zJ5Ac.css,47,0,0
1714559039244,1150,https://www.rae.es/,200,OK,Test Case Basico 1-1,text,true,,14718,684,3,5,https://www.rae.es/,1150,0,89
1714559040341,79,https://www.rae.es/sites/default/files/css/css_n3ebl0G58_EfjviLG1wBHDyYOmKshCrW-sAqdgvd5d4.css,200,OK,Test Case Basico 2 2-1,text,true,,58274,752,1,5,https://www.rae.es/sites/default/files/css/css_n3ebl0G58_EfjviLG1wBHDyYOmKshCrW-sAqdgvd5d4.css,58,0,0
1714559040421,47,https://www.rae.es/themes/custom/front/src/assets/images/lupa.svg,200,OK,Test Case Basico 2 2-1,text,true,,1462,769,1,6,https://www.rae.es/themes/custom/front/src/assets/images/lupa.svg,47,0,0
1714559039466,1017,https://www.rae.es/,200,OK,Test GoToRae 3-1,text,true,,14722,684,2,6,https://www.rae.es/,1017,0,69
1714559040482,47,https://www.rae.es/themes/custom/front/src/assets/svg/logo-fundacion-caixa.svg,200,OK,Test Case Basico 2 2-1,text,true,,6046,782,1,6,https://www.rae.es/themes/custom/front/src/assets/svg/logo-fundacion-caixa.svg,47,0,0
1714559039737,803,https://www.rae.es/,200,OK,Test Case Basico 1-2,text,true,,14822,684,3,6,https://www.rae.es/,803,0,67
1714559040501,46,https://www.rae.es/sites/default/files/css/css_WSt8iH52cnt2qIw8_5DZJB7HRsExK9FogVlIs0zJ5Ac.css,200,OK,Test Case Basico 1-1,text,true,,3627,752,3,6,https://www.rae.es/sites/default/files/css/css_WSt8iH52cnt2qIw8_5DZJB7HRsExK9FogVlIs0zJ5Ac.css,46,0,0
1714559040508,42,https://www.rae.es/sites/default/files/css/css_WSt8iH52cnt2qIw8_5DZJB7HRsExK9FogVlIs0zJ5Ac.css,200,OK,Test GoToRae 3-1,text,true,,3637,752,2,6,https://www.rae.es/sites/default/files/css/css_WSt8iH52cnt2qIw8_5DZJB7HRsExK9FogVlIs0zJ5Ac.css,42,0,0
